date;video_id;video_title;video_description
2021/05/02;QDFfPAaWTV4;CP COMPANY 2021 HAUL + 50 YEAR ANNIVERSARY COLLECTION REVIEW 😍 😍;"This video has been sponsored by Seven Store

Bio 
In this Video I take a look and review some pieces of the CP Company 50 Year Anniversary Collection as well as their current SS21 collections in the haul video. Enjoy.

For 15% OFF FULL price items Click Here -  https://tidd.ly/3t6U7Tn
For UP TO 50% OFF Sale Click Here - https://tidd.ly/3nEkAXf

For All The Items In this Video Click Here - https://tinyurl.com/m427cbsh

For OUR £500 Giveaway with Certilogo Click Here - https://tinyurl.com/3377kedp

Enjoy Guys"
2021/04/30;5ZahqIDPtj8;STYLE IT OUT OUTFIT CHALLENGE | NIKE AIR MAX;"In this video Kikks Official & I Style Out a Pair of Air Max trainers Each and give our own takes on what outfits to put together.

All the Nike items on this video Are Available from Nike who are doing 20% OFF Full Price at the moment with code MAY21: https://tidd.ly/3nMwAGl

SEE ALL THE OUTFITS IN THIS VIDEO HERE: https://thehoxtontrend.com/about-us/release-news-and-blogs/how-to-style-a-pair-of-nike-air-max/

All other items were found using our website to source the best deals: https://thehoxtontrend.com 

Here are the links for those items. Enjoy

ALL  NIKE ITEMS 

Nike Tech Knit T Shirt -  https://bit.ly/3euiiFU

Nike Air Max Plus - https://bit.ly/3dRGAur

Nike Air Max Genome - https://bit.ly/3xlHrvb

Nike SB RPM Duffle - https://bit.ly/3vl6EDX

Nike SB RPM Back Pack - https://bit.ly/3tVDQl7

NIKE Modern Essentials - https://bit.ly/3tV90ZX

ALL NON NIKE ITEMS

Rapha Tee - https://bit.ly/3gBYumK

Rhude Tee- https://bit.ly/3sUuPYy

Moncler Oversizes Logo Tee - https://bit.ly/3aCUXAP

These items below have offers [Seven Store 15% OFF with code THt15) 

Cp Company Tee - https://bit.ly/2RW0KL9

Cp Company Fleece - https://bit.ly/3gFQJfo

Cp Company Shorts - https://bit.ly/3gIEizI

Hugo Boss Jacket - https://tidd.ly/2PDxwQB

Hugo Boss Tracksuit - https://bit.ly/3sZbBRo"
2021/04/25;pMJ0a8TaOzE;☀️☀️ 15 MENS  DESIGNER T-SHIRT SELECTIONS FOR SPRING / SUMMER 2021 | LOW TO HIGH BUDGET;"THIS VIDEO HAS BEEN SPONSORED BY @Browns

In this video I thought i'd help our followers out by giving some ideas/suggestions on some t-shirts to look out for ranging from low to high budgets. So with the help Browns I've selected a bunch of premium tshirts I thought would make a great choice for spring summer. Hopefully this new concept video would be useful and helpful and give some of our followers some inspiration to try something new. Enjoy

All Items In This video Are Below
Browns Outfits:
Tshirt 1 RAPHA Logo Tee - https://tinyurl.com/nut7kha5

Tshirt 2  PAS Normal Studios Black Tee - https://tinyurl.com/4ve26txk

Tshirt 3 PREVU BALNEA - https://tinyurl.com/x6aykdfk

Tshirt 4 MAISON KITSUNE - Logo Print Cotton Tee  - https://tinyurl.com/72p9ye5s

Tshirt 5 MAISON KITSUNE - https://tinyurl.com/8nhxc4t3

Tshirt 6 CP COMPANY LOGO PATCH - https://tinyurl.com/5w3ya3d9

Tshirt 7 KSUBI Flint Logo Print - https://tinyurl.com/krv35x2f

Tshirt 8 STONE ISLAND Garment Dyed Cotton Tee - https://tinyurl.com/d76a38eh

Tshirt 9 MONCLER GRENOBLE Black Tee - https://tinyurl.com/tw8fzkw

Tshirt 10 OFF WHITE x Brown 50 Mona Lisa Tee - https://tinyurl.com/jmsurynr

Tshirt 11 RHUDE Sundary Logo - https://tinyurl.com/4c7wna93

Tshirt 12 BURBERRY Letchford Logo Print Tee - https://tinyurl.com/ft5kwbu

Tshirt 13 AMIRI Logo Print Tee - https://tinyurl.com/ykeavzwv

Tshirt 14 GUCCI GG Logo Cotton T Shirt - https://tinyurl.com/29t6sjx4

Tshirt 15 MASTERMIND JAPAN WORLD SWAROVSKI Skull Tee - https://tinyurl.com/3xeer6rw"
2021/04/22;QgRvH63FqaU;THIS IS DESIGNER POP UP STORE&#39,S BIGGEST CP COMPANY CLEARANCE SALE YET !!!;"Visit DPUS New Website and get an EXTRA 15% off with discount code HOXTON15 https://bit.ly/3xlrRiP

▼SIGN UP TO OUR NEWSLETTER TO STAY UP TO DATE
https://thehoxtontrend.com/sign-up/​

▼ DISCOVER MENSWEAR NEWS, DEALS & COLLECTIONS
http://www.thehoxtontrend.com/​

▼ OUR SHOPPING PORTAL
https://thehoxtontrend.com/shop/​

▼JOIN OUR COMMUNITY - BUY | SELL | CONNECT 
https://www.facebook.com/groups/Hoxto...​

▼INFLUENCER STYLE GUIDE
https://thehoxtontrend.com/style-guide/​

▼SALES & CODES OF THE WEEK
https://thehoxtontrend.com/sales-code...​

▼A-Z RETAILER OUTLET PAGE
https://thehoxtontrend.com/retailers/​

▼ GET IN TOUCH  
helpmehox@thehoxtontrend.com

▼ INSTAGRAM
Official Instagram https://www.instagram.com/thehoxtontrend​ 
Personal Instagram https://www.instagram.com/thehoxtontr...​
Learn to Spot Fakes https://www.instagram.com/fakespotta/​

Twitter https://twitter.com/TheHoxtonTrend​
Snap https://www.snapchat.com/add/jetsetjones​

Daily Deals Twitter https://twitter.com/TheHoxtonTrend​
Snap https://www.snapchat.com/add/jetsetjones​
 
▼ RECOMMENDED
Below are my quick recommended places to shop, there is much more on my website but for those who are strapped for time the below list should get you started if your looking for trusted shops to buy from online.
 

▼ WHAT I USE TO MAKE VIDEOS
Camera http://tidd.ly/125cd154​
Tripod http://tidd.ly/8c63eb0b​
SDCards http://tidd.ly/b695242d​
Laptop http://tidd.ly/691d950e​
GoPro http://tidd.ly/a65064e0​

 
Disclaimer : Clothing is my passion and I express this through YouTube and all my other social media platforms and other media for free. As much as I have researched into the many different brands, retailers and products, the informative content I produce is all of my own opinions, which you are free to use. I strongly advise that you also ensure that you carry out your own research so you can be fully informed on any information I have provided. 

The links used in this description earn a commission whenever a purchase is made, this helps go towards creating more great videos for my followers and as well as any other products or services we create at TheHoxtonTrend. I only promote stores which I feel are a good fit for my followers, I will never promote a store or brand if I don’t feel it fits or is right for my audience no matter what. My followers will always come first as they have supported me enough to be in the position that i’m in."
2021/04/11;QYTjDsUQSB0;9 Designer Looks To Try This Spring Summer 2021 | Selfridges Edition;"THIS VIDEO HAS BEEN SPONSORED BY SELFRIDGES

Check Out Selfridges Seasonal Sale with up to 50% OFF Spring / Summer Selections - https://tidd.ly/3g1MKcI

In this video I thought i'd help our followers out by giving some ideas/suggestions on looks to go for this summer season. So with the help Selfridges I've selected a bunch of premium items from a range of style and budgets to create '9 Looks to Try for this Spring / Summer 2021', Hopefully this new concept video would be useful and helpful and give some of our followers some inspiration to try something new. Enjoy

All Items In This video Are Below
Selfridges Outfits:

Style 1 :
STONE ISLAND Brand-patch slim-leg stretch-cotton trousers - £315.00
https://tidd.ly/3uHLG1M

PIECES UNIQUES Arrow relaxed-fit stretch-jersey T-shirt  -£70.00
https://tidd.ly/3uHLG1M

Style 2 :
REISS Tarin crew neck woven jumper - £50.00 £85.00 
https://tidd.ly/3wO88bq

NO.91 Super Skinny slim-fit jeans - £60.00
https://tidd.ly/3d68GS8

Style 3 :
STONE ISLAND Logo-badge cotton sweatshirt  - £220.00
https://tidd.ly/324mmqz

NO.91 Super Skinny Distress ripped faded jeans - £65.00
https://tidd.ly/2PUNLbV

Style 4 :
MONCLER Logo-print cotton-jersey T-shirt  £210.00
https://tidd.ly/2QhWl4h

NO.91 Slim Distressed ripped slim-fit jeans -  £65.00
https://tidd.ly/3wO7KK0

Style 5 :
PALM ANGELS Classic logo-print cotton-jersey T-shirt  - £200.00
https://tidd.ly/3uEexEg

NEUW Iggy slim-fit skinny organic stretch-denim jeans  - £125.00
https://tidd.ly/3uFimsJ

Style 6 :
BELSTAFF Mantle padded shell-down jacket  - £380.00
https://tidd.ly/327vY3M

NEUW Lou Slim straight stretch-cotton twill jeans  - £130.00
https://tidd.ly/3uFimsJ

Style 7 :
CP COMPANY Mid-rise stretch cotton-twill trousers  - £225.00
https://tidd.ly/3mCqd7A

CP COMPANY Metropolis logo-print cotton-jersey T-shirt  - £80.00
https://tidd.ly/2Rs4IuU

Style 8 :
COMME DES GARCONS PLAY Heart-appliqué cotton-jersey T-shirt - £80.00
https://tidd.ly/3mCofnS

INSIDE OUT DENIM Paint Splash slim-fit jeans  - £80.00
https://tidd.ly/3uBnPAM

STYLE 9 :
PIECES UNIQUES Couture brand-print cotton-jersey T-shirt  - £55.00
https://tidd.ly/3td9pXp


THOM BROWNE Striped cotton-jersey jogging bottoms  - £690.00
https://tidd.ly/3t9LgB4"
2021/04/04;equewwgv550;GET CENTRAL CEE&#39,S LOOK | STYLE CHALLENGE + £500 GIVEAWAY;"Get up to 50% OFF Sale items + an extra 15% off at checkout with code FR15 - https://tinyurl.com/kxjhr237

Get 40% OFF Full Price items without a star with CODE S40 from Luisa Via Roma https://bit.ly/3fFDTgN 

In this video I set myself a challenge to get the Central Cee look based on his new video 6 for 6 and his instagram, I take a look at how his style can be achieved on a budget. I go through Central Cees's instagram to break down his style traits and see if I can get a similar look on various budgets. I hope you guys enjoy this one.

All items on this video 

Get 15% OFF THESE ITEMS with CODE 'S15' from Luisa Via Roma
Moncler Orange Jacket  - https://bit.ly/3fxEXDq
The North Face Yellow Jacket - https://bit.ly/3rFIMbX
Jordan Engineered Cargo Pants - https://tinyurl.com/a6hpy3r2

£500 Giveaway with @certilogo See How To Take Part - https://bit.ly/500GIVEAWAYCERTILOGOXTHT

Other Items 

Gucci bag - https://bit.ly/3rFQcMl
Nike Flyknit VaporMax 2020 - https://bit.ly/3mcX5Ug 
Polo Sport Shoulder bag - https://bit.ly/3mfBNWn
Nike Jordan MA2 Lunar Launch - https://bit.ly/3rEOo6o
Trapstar track top - https://bit.ly/3fO9Ofh
Trapstar bottoms - https://bit.ly/3fIAr4S
Trapstar  T-shirt - https://bit.ly/39yoScD"
2021/03/29;KZeTQvTIST4;SPRING/SUMMER 2021 MYSTERY UNBOXING  | MONCLER + CP COMPANY DESIGNER;"SEVENSTORE has hooked our followers up with an EXCLUSIVE 15% OFF Selected New Season Items SEE LINK BELOW.

THIS VIDEO IS SPONSORED

Get 15% OFF SEVENSTORE WITH OUR CODE 'THT15' 
remember to use our direct link to the offer - https://tidd.ly/3rzR2KF

In this video we received a Mystery Box from premium retailer Seven Store. They sent through a whole bunch of items for me to look at in closer detail, I also try them on and give you my thoughts on each piece.

Most of the items are ideal from spring summer collections, included selections from Moncler, Canada Goose, Cp Company and Off-White

All Items in this Video 

MONCLER LAPPE HOODED DOWN GILET 
£675.00
https://bit.ly/3deYUw7

MONCLER GUI DOWN GILET Black
£479.00
https://bit.ly/31uQV8I

MONCLER TRICOLOUR CHEST STRIPE T-SHIRT Navy
£185.00
https://bit.ly/3m2TKHt

MONCLER ROCHEFORT GILET Navy
£659.00
https://bit.ly/2PfftzX

C.P. COMPANY ARMS LENS FLEECE HOODY Grey melange
£195.00
https://bit.ly/3w2Z3eF

C.P. COMPANY HOODED GOGGLE OVERSHIRT Laurel wreath
£379.00
https://bit.ly/3flmF8b

OFF-WHITE c/o VIRGIL ABLOH OUT OF OFFICE 'FOR WALKING' SNEAKER White
£359.00
https://bit.ly/3fkJn0p

CANADA GOOSE CROFTON GILET Black
£395.00
https://bit.ly/2P8vKXz

CANADA GOOSE LODGE HOODED JACKET Black
£525.00
https://bit.ly/3u2bCEZ

FOR THE LATEST IN MENS LUXURY AND PREMIUM FASHION, VISIT - https://thehoxtontrend.com"
2021/03/21;dZXXWOgUlP0;£200 NIKE SPRING OUTFIT STYLE CHALLENGE 😎😎 2021 TRY ON;"Armed with a £200 budget I challenge myself to style a Nike Outfit with some of my own jackets to see what looks I could pull off for spring.  I wanted to see what I could find on Nikes website that was a little different from the norm and see if I could put together some cool fits. Hope you enjoy

This Video Has Been Sponsored by NIKE

MORE ON THE KISS MY AIR TRAINER RELEASES - https://tinyurl.com/3zm8uprj

This week NIKE will be celebrating AIR MAX day and will have a host of offers for NIKE Members, CLICK HERE TO FIND OUT  - https://www.nike.com/gb/membership

Take part in our GIVEAWAY - http://bit.ly/AirMax95Giveaway

OUTFITS IN THIS VIDEO 

SB Tshirt - https://tidd.ly/3s3jLIO
RIP Stop Cargo Pants - https://tidd.ly/2NCy3RP
Blazer Lo White Trainers - https://tidd.ly/3lAbWb0
Cross Bag - https://tidd.ly/3vKeata

NIKE SALE - https://tidd.ly/3vKeata"
2021/03/08;8hx_CVq3vEg;😍😍 OUR TOP NIKE TRACKSUITS PICKUPS THIS SEASON + FOLLOWER GIVEAWAY;"In this video Kikks Official & I checked out some tracksuits from NIKE.  We had a look at them in detail and give you our thoughts on them. We also have a super cool giveaway for one of our lucky followers, well two in fact, so make sure to watch the video until the end. Enjoy

NIKE GIVEAWAY - http://bit.ly/NIKEGIVEAWAYDUNKHI
Grab Up to 50% Off at Nike - http://bit.ly/3bdXkuz

▼ DISCOVER MENSWEAR NEWS, DEALS & COLLECTIONS
http://www.thehoxtontrend.com/"
2021/02/28;dJzVLCh7rnk;Monthly Designer Selections + £500 giveaway ft. Ami, Palm Angels | Off White | Nike;"This Video is Sponsored by LUISAVIAROMA 

Get up to 50% OFF Sale items + an extra 15% off at checkout with code FR15 - https://tinyurl.com/kxjhr237

Get 40% Off New Season Selections on items without a star use CODE S40 https://bit.ly/30tZEr0   

ITEMS IN THE VIDEO
Palm Angels Oversizes Tee - https://tinyurl.com/3rp5382a
Nike Tech Pack Hooded Sweater - https://tinyurl.com/pdftmdun
Emperio Armani Core Gilet - https://tinyurl.com/zj8jvhey
AMI Hooded Sweater - https://tinyurl.com/4nupp9ur
OFF White Carvaggio Sweater - https://tinyurl.com/ar897y46
Neil Barrett Hooded Sweater - https://tinyurl.com/f6zjvdm2

▼ DISCOVER MENSWEAR NEWS, DEALS & COLLECTIONS
https://www.thehoxtontrend.com/

Join Our Money Matters Group - https://www.facebook.com/groups/hoxtonmoneymatters


▼JOIN OUR COMMUNITY - BUY | SELL | CONNECT 
https://www.facebook.com/groups/HoxtonsMarketplace/

▼Follow us on our  INSTAGRAM 
https://www.instagram.com/thehoxtontrend/

▼Follow Hoxton on his personal instagram account 
https://www.instagram.com/thehoxtontravels/

▼SIGN UP TO OUR NEWSLETTER TO STAY UP TO DATE
https://thehoxtontrend.com/sign-up/

▼SALES & CODES OF THE WEEK
https://thehoxtontrend.com/sales-codes-hoxton-trend/

▼A-Z RETAILER OUTLET PAGE
https://thehoxtontrend.com/retailers/

▼ GET IN TOUCH  
helpmehox@thehoxtontrend.com

▼ INSTAGRAM
Official Instagram https://www.instagram.com/thehoxtontrend 
Personal Instagram https://www.instagram.com/thehoxtontravels/
Learn to Spot Fakes https://www.instagram.com/fakespotta/

Daily Deals Twitter https://twitter.com/TheHoxtonTrend
Snap https://www.snapchat.com/add/jetsetjonesROMA - http://bit.ly/LUISAVIAROMA15"
2021/02/21;AvKrOa0ltxw;How To Avoid A Fake Canada Goose Hybridge Base & Lite Jacket;"IN THIS VIDEO I look at two fake Canada goose jackets in particular the Canada Goose Hybridge Base and the Hybridge Lite. I show you some quick tips to help you avoid these heavily faked jackets. Enjoy

▼ FIND THE LATEST DEALS FROM OFFICIAL STOCKISTS
https://thehoxtontrend.com/sales-and-codes/

▼JOIN OUR COMMUNITY - BUY | SELL | CONNECT 
https://www.facebook.com/groups/HoxtonsMarketplace/

▼Follow us on our  INSTAGRAM 
https://www.instagram.com/thehoxtontrend/

▼Follow Hoxton on his personal instagram account 
https://www.instagram.com/thehoxtontravels/

▼ DISCOVER MENSWEAR NEWS, DEALS & COLLECTIONS
https://www.thehoxtontrend.com/

▼GET THE DEALS BEFORE ANYONE ELSE SIGN UP TO OUR EMAIL
https://thehoxtontrend.com/sign-up/

▼SALES & CODES OF THE WEEK
https://thehoxtontrend.com/sales-codes-hoxton-trend/

▼A-Z RETAILER AUTHORISED RETAILER OUTLET PAGE
https://thehoxtontrend.com/retailers/

▼JOIN OUR COMMUNITY - BUY | SELL | CONNECT 
https://www.facebook.com/groups/HoxtonsMarketplace/"
2021/02/14;hGlUVl7qhYs;THEY SENT A FAKE MONCLER JACKET + RECEIPT??? Hanging with Hoxton | M&S Challenge Westfields;"IN THIS VIDEO I talk about how I was nearly scammed for a Moncler jacket I purchased online from a marketplace. i also head over to M&S in Westfields for food budget challenge. Enjoy

▼Follow us on our  INSTAGRAM 
https://www.instagram.com/thehoxtontrend/

▼Follow Hoxton on his personal instagram account 
https://www.instagram.com/thehoxtontravels/

▼JOIN OUR COMMUNITY - BUY | SELL | CONNECT 
https://www.facebook.com/groups/HoxtonsMarketplace/

▼ FIND THE LATEST DEALS FROM OFFICIAL STOCKISTS
https://thehoxtontrend.com/sales-and-codes/

▼ DISCOVER MENSWEAR NEWS, DEALS & COLLECTIONS
https://www.thehoxtontrend.com/

▼GET THE DEALS BEFORE ANYONE ELSE SIGN UP TO OUR EMAIL
https://thehoxtontrend.com/sign-up/

▼SALES & CODES OF THE WEEK
https://thehoxtontrend.com/sales-codes-hoxton-trend/

▼A-Z RETAILER AUTHORISED RETAILER OUTLET PAGE
https://thehoxtontrend.com/retailers/

▼JOIN OUR COMMUNITY - BUY | SELL | CONNECT 
https://www.facebook.com/groups/HoxtonsMarketplace/"
